Metabolite	Basal_Artery.stdev	Basal_Vein.stdev	Basal_Artery.std.err	Basal_Vein.std.err	Basal_Artery.mean	Basal_Vein.mean	Fold_Change	log2FoldChange	t_value	pval	padj	X112Vein_pl01_GGT3_rep1run1_291009_1	X112Vein_pl01_GGT3_rep1run2_291009_1	X112Vein_pl05_GGT3_rep1run1_291009_1	X112Vein_pl05_GGT3_rep1run2_291009_1	X112Vein_pl09_GGT3_rep1run1_291009_1	X112Vein_pl09_GGT3_rep1run2_291009_1	X112Vein_pl13_GGT3_rep1run1_291009_1	X112Vein_pl13_GGT3_rep1run2_291009_1	X112Vein_pl17_GGT3_rep1run1_291009_1	X112Vein_pl17_GGT3_rep1run2_291009_1	X112Vein_pl21_GGT3_rep1run1_291009_1	X112Vein_pl21_GGT3_rep1run2_291009_1	X112Vein_pl25_GGT3_rep1run1_291009_1	X112Vein_pl25_GGT3_rep1run2_291009_1	X112Vein_pl29_GGT3_rep1run1_291009_1	X112Vein_pl29_GGT3_rep1run2_291009_1	X112Vein_pl33_GGT3_rep1run1_291009_1	X112Vein_pl33_GGT3_rep1run2_291009_1	X112Vein_pl02_GGT3_rep1run1_291009_1	X112Vein_pl02_GGT3_rep1run2_291009_1	X112Vein_pl06_GGT3_rep1run1_291009_1	X112Vein_pl06_GGT3_rep1run2_291009_1	X112Vein_pl26_GGT3_rep1run1_291009_1	X112Vein_pl26_GGT3_rep1run2_291009_1	X112Vein_pl30_GGT3_rep1run1_291009_1	X112Vein_pl30_GGT3_rep1run2_291009_1	X112Vein_pl34_GGT3_rep1run1_291009_1	X112Vein_pl34_GGT3_rep1run2_291009_1	Diff_Exp
(2-Ethoxyethoxy)acetic acid tms	NA	NA	NA	NA	18.86556	42.63600	0.442479594708697	-1.17631716916371	55	0.081289173426397	0.327316753422017	80.57	78.47	0	0	0	35.21	14.53	0	0	0	0	59.17	0	13.72	21.57	36.34	0	0	92.92	82.81	89.65	73.62	43.47	0	15.73	28.16	0	0	NC
(2-Thioxo-2H-benzo[4,5]thiazolo[3,2-b][1,2,4]triazol-1-yl)-p-tolyl-methanone	0.174143291491028	NA	0.0410459674371504	NA	0.9188889	0.7750000	1.18566309677419	0.245694129899642	115	0.239863286428239	0.56103616147622	1.07	0.97	0.87	1.02	1.38	1	0.87	0.9	0.93	0.77	0.73	0.92	0.63	0.8	0.75	1.01	1	0.92	0.72	1.05	0.62	0.66	0.79	0.66	0.91	1.24	0	1.1	NC
(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-	0.554533389761745	0.491500494209331	0.130704773431631	0.155426103279988	72.36083	75.64400	0.956597086351859	-0.0640166977844752	87	0.906310775418327	0.992002945964773	82.855	98.24	30.135	42.81	43.515	11.325	66.285	74.2	68.92	66.665	95.455	80.91	74.36	76.935	71.45	91.54	124.035	102.86	113.625	91.785	31.13	33.12	70.435	49.63	61.27	73.66	125.82	105.965	NC
(R*,S*)-3,4-Dihydroxybutanoic acid triTMS	NA	NA	NA	NA	35.74611	36.32100	0.984171966630875	-0.023017671874515	78	0.58085323250857	0.871952948014068	36.99	32.58	46.85	56.65	41.43	38.23	27.84	27.71	61.96	61.46	30.21	28.48	34.06	33.71	0	0	42.48	42.79	40.62	38.81	62.82	58.83	33.91	31.27	0	0	47.33	49.62	NC
(S)-(+)-2-(Methoxymethyl)pyrrolidine	NA	NA	NA	NA	34.37056	22.03400	1.55988744667332	0.641441935507814	108.5	0.368689691114354	0.701781756879736	82.84	0	15.41	0	0	16.91	0	90.92	47.47	61.19	57.53	64.13	51.12	0	53.86	0	77.29	0	53.93	42.54	0	0	24.73	0	0	28	0	71.14	NC
(t-Butyldimethylsilyl)[3-methyl-3-(4-methyl-pent-3-enyl)-oxiran-2-yl]-methanone	NA	NA	NA	NA	0.6927778	0.2630000	2.634136121673	1.39732990025972	126	0.0688500588420624	0.311518299023102	0	0	0	0	1.92	1.53	0.66	0.76	1.1	0.61	0.74	0.64	0.93	0.93	1.24	1.41	0	0	0	0	1.34	1.29	0	0	0	0	0	0	NC
(Z)-Bis-1,2-(trimethylsilyloxy)ethylene	0.40751303272837	0.216734767697668	0.0960517429547086	0.0685375514072117	6.484167	5.736000	1.13043357740586	0.176876223966969	115	0.244923802360873	0.563324745430008	9.135	6.865	5.315	7.07	9.4	7.815	5.06	5.055	7.91	7.25	7.61	9.665	5.61	4.82	5.265	1.6	6.405	4.865	7.165	8.735	6.245	5.35	5.685	4.935	4.085	5.19	5.13	4.84	NC
[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane	0.131061226905237	0.111601697641964	0.0308914274317739	0.0352915555290048	77.38833	73.14500	1.05801257775651	0.0813567784529614	108	0.408140905623743	0.731473311377617	68.57	69.01	62.39	72.5	78.21	68.33	82.75	89.13	70.94	72.31	63.85	80.81	92.53	85.52	73.41	92.79	95.56	74.38	63.62	63.43	75.54	81.27	80.37	72.72	61.88	84.17	71.11	77.34	NC
*2-Butenedioic acid, 2TMS	NA	NA	NA	NA	38.23278	38.48600	0.993420464584524	-0.00952362810969065	103	0.547855910973846	0.851662956926115	0	69.15	35.85	80.19	39.48	36.91	12.53	35.93	51.24	30.83	31.48	30.61	32.32	0	35.74	34.55	40.06	91.32	0	113.1	23.02	25.48	0	0	86.06	75.93	47.26	14.01	NC
*2-Hydroxybutyric acid, 2TMS	0.609760609806064	0.276733497604729	0.143721954031437	0.0875108157295695	611.8976	531.7482	1.15072810777733	0.202546996025615	89	0.981220305247765	0.992002945964773	431.755	377.98	257.583333333333	304.246666666667	480.901666666667	629.148333333333	609.628333333333	265.515	621.523333333333	636.513333333333	284.6	1912.51666666667	161.155	1408.82833333333	455.213333333333	585.45	824.48	767.118333333333	450.635	502.195	505.841666666667	566.688333333333	335.393333333333	349.661666666667	505.511666666667	566.983333333333	768.023333333333	766.548333333333	NC
