Metabolite	Insulin_Artery.stdev	Insulin_Vein.stdev	Insulin_Artery.std.err	Insulin_Vein.std.err	Insulin_Artery.mean	Insulin_Vein.mean	Fold_Change	log2FoldChange	t_value	pval	padj	X112Vein_pl03_GGT3_rep1run1_291009_1	X112Vein_pl03_GGT3_rep1run2_291009_1	X112Vein_pl07_GGT3_rep1run1_291009_1	X112Vein_pl07_GGT3_rep1run2_291009_1	X112Vein_pl11_GGT3_rep1run1_291009_1	X112Vein_pl11_GGT3_rep1run2_291009_1	X112Vein_pl15_GGT3_rep1run1_291009_1	X112Vein_pl15_GGT3_rep1run2_291009_1	X112Vein_pl19_GGT3_rep1run1_291009_1	X112Vein_pl19_GGT3_rep1run2_291009_1	X112Vein_pl23_GGT3_rep1run1_291009_1	X112Vein_pl23_GGT3_rep1run2_291009_1	X112Vein_pl31_GGT3_rep1run1_291009_1	X112Vein_pl31_GGT3_rep1run2_291009_1	X112Vein_pl35_GGT3_rep1run1_291009_1	X112Vein_pl35_GGT3_rep1run2_291009_1	X112Vein_pl04_GGT3_rep1run1_291009_1	X112Vein_pl04_GGT3_rep1run2_291009_1	X112Vein_pl08_GGT3_rep1run1_291009_1	X112Vein_pl08_GGT3_rep1run2_291009_1	X112Vein_pl12_GGT3_rep1run1_291009_1	X112Vein_pl12_GGT3_rep1run2_291009_1	X112Vein_pl16_GGT3_rep1run1_291009_1	X112Vein_pl16_GGT3_rep1run2_291009_1	X112Vein_pl20_GGT3_rep1run1_291009_1	X112Vein_pl20_GGT3_rep1run2_291009_1	X112Vein_pl24_GGT3_rep1run1_291009_1	X112Vein_pl24_GGT3_rep1run2_291009_1	X112Vein_pl32_GGT3_rep1run1_291009_1	X112Vein_pl32_GGT3_rep1run2_291009_1	X112Vein_pl36_GGT3_rep1run1_291009_1	X112Vein_pl36_GGT3_rep1run2_291009_1	Diff_Exp
(2-Ethoxyethoxy)acetic acid tms	NA	NA	NA	NA	54.37375	25.07000	2.16887714399681	1.11694833389242	147.5	0.467122213246641	0.76100738091557	60.53	409.62	0	87.81	52.04	56.47	50.63	35.78	11.08	0	0	54.95	27.32	0	0	23.75	25.32	68.59	0	73.1	32.99	28.19	0	19.73	0	12.12	0	0	36.76	51.08	17.9	35.34	NC
(2-Thioxo-2H-benzo[4,5]thiazolo[3,2-b][1,2,4]triazol-1-yl)-p-tolyl-methanone	NA	NA	NA	NA	0.80125	0.76250	1.05081967213115	0.0715151141684958	119	0.748252385599994	0.944351936627473	0.57	0.54	0.98	0.94	0.95	1	0	0.94	1.01	0.86	0.87	1.1	0.68	0.66	0.91	0.81	0	0.96	0.96	0.71	1.21	0.72	0.98	1.2	0.95	0	0	0.8	0.94	0.82	0.97	0.98	NC
(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-	0.374100462193154	0.522646352109827	0.0935251155482885	0.130661588027457	70.44563	69.67000	1.01113291230085	0.0159726503704711	130	0.955558077680757	0.984189031319132	114.7	101.995	40.365	36.45	42.565	45.66	51.575	54.595	82.13	57.255	67.69	62.435	76.93	81.825	98.95	112.01	104.755	101.805	32.97	29.57	43.335	36.02	62.735	64.925	81.935	80.15	21.37	58.82	89.895	81.345	115.13	109.96	NC
(R*,S*)-3,4-Dihydroxybutanoic acid triTMS	NA	NA	NA	NA	35.03563	38.36000	0.913337591240876	-0.130779881789612	112	0.558739822919343	0.838530009496958	34.65	34.47	58.37	58.49	41.99	40.1	23.38	25.11	57.42	54.73	25.64	24.93	0	0	41.87	39.42	36.11	38.91	50.29	56.03	46.36	40.89	31.23	34.03	58.78	56.57	33.18	35.51	0	0	46.86	49.01	NC
(S)-(+)-2-(Methoxymethyl)pyrrolidine	NA	NA	NA	NA	13.06125	30.66937	0.425872784475195	-1.23150555790173	95	0.168453871812562	0.559583115348769	25.6	70.22	0	16.43	0	0	52.09	44.64	0	0	0	0	0	0	0	0	48.85	66.16	44.15	42.91	0	0	0	57.64	0	0	62.5	86.4	0	0	0	82.1	NC
(t-Butyldimethylsilyl)[3-methyl-3-(4-methyl-pent-3-enyl)-oxiran-2-yl]-methanone	NA	NA	NA	NA	0.548750	0.690625	0.794570135746606	-0.331753524743436	107	0.42380345703285	0.750783364566612	0	0	1.48	1.96	0	0.44	0	0	1.21	0.74	0	0	1.32	0.87	0	0.76	0	0	0.67	1.56	0	0	1.25	0.79	0.79	0.54	1.31	0.9	0	0.63	0.95	1.66	NC
(Z)-Bis-1,2-(trimethylsilyloxy)ethylene	0.34734072595521	0.349473146169302	0.0868351814888024	0.0873682865423255	5.489063	6.096250	0.900399917982366	-0.151362169510708	109	0.490915915589926	0.77983210376858	3.625	8.095	6.325	5.57	1.97	6.11	4.82	5.025	6.585	6.155	5.715	7.68	4.125	3.73	6.02	6.275	4.065	7.565	4.235	6.335	7.03	8.505	4.185	4.835	5.995	7.355	9.555	9.74	3.155	3.57	5.095	6.32	NC
[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane	0.153775524314098	0.14214703733082	0.0384438810785244	0.035536759332705	73.79438	79.02563	0.933803121847937	-0.0988096831470455	90	0.159611595380778	0.548664859121423	66.82	78.92	85.35	66.07	68.72	77.44	63.55	60.03	72.38	86.22	61.93	67.81	67.56	73.33	73.6	110.98	63.65	72.89	80.99	83.46	67.26	83.57	64.96	67.72	67.43	82.42	86.51	71.74	91.83	88.77	99.79	91.42	NC
*2-Butenedioic acid, 2TMS	NA	NA	NA	NA	34.49688	25.21375	1.36817728421992	0.452255182338895	154.5	0.31410251878077	0.721295350610933	0	65.75	34.24	34.66	42.16	35.93	0	0	42.49	42.24	66.25	0	61.62	49.76	76.85	0	0	70.12	53.74	31.12	32.69	24.36	0	0	62.54	0	0	21.36	0	0	51.79	55.7	NC
*2-Hydroxybutyric acid, 2TMS	0.907324808055189	0.546697574876277	0.226831202013797	0.136674393719069	953.4089	661.8055	1.44061797612743	0.526687811559623	99	0.287088207951685	0.697746694514327	328.316666666667	450.763333333333	498.123333333333	221.9	445.84	6783.29	443.9	443.288333333333	498.335	304.49	243.31	192.741666666667	390.468333333333	2631.75666666667	676.24	701.778333333333	377.985	490.493333333333	250.238333333333	371.441666666667	495.095	503.063333333333	2133.12	633.946666666667	525.125	381.938333333333	326.718333333333	532.863333333333	552.44	719.186666666667	1611.38666666667	683.846666666667	NC
*2-Oxobutanoic acid, TMS	NA	NA	NA	NA	88.60313	98.72062	0.897513913506621	-0.155993790724471	129	0.984887438986322	0.996045056640329	169.07	158.29	0	0	111.79	103.72	58.81	48.24	0	25.22	9.97	52.35	120.56	120.52	196.03	243.08	130.65	208.29	0	8.74	90.16	181.15	0	15.38	99.72	114.21	118.59	0	296.86	270.27	45.51	0	NC
