GPLNumber,PlatformInfo,PlatformTable
GPL23126,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL23126,NA
GPL30511,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL30511,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL30511&id=56626&db=GeoDb_blob182
GPL28577,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL28577,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL28577&id=11301&db=GeoDb_blob175
GPL29503,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL29503,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL29503&id=98770&db=GeoDb_blob178
GPL14951,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL14951,NA
GPL6244,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6244,NA
GPL16686,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL16686,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL16686&id=17306&db=GeoDb_blob94
GPL570,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL570,NA
GPL11532,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL11532,NA
GPL14877,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL14877,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL14877&id=22344&db=GeoDb_blob69
GPL2895,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL2895,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL2895&id=20430&db=GeoDb_blob09
GPL10558,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL10558,NA
GPL14550,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL14550,NA
GPL17586,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL17586,NA
GPL8910,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL8910,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL8910&id=6641&db=GeoDb_blob36
GPL127,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL127,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL127&id=21954&db=GeoDb_blob06
GPL128,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL128,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL128&id=24659&db=GeoDb_blob06
GPL131,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL131,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL131&id=10137&db=GeoDb_blob03
GPL549,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL549,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL549&id=10478&db=GeoDb_blob03
GPL96,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL96,NA
GPL3050,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL3050,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL3050&id=7876&db=GeoDb_blob92
GPL20115,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL20115,NA
GPL18056,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL18056,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL18056&id=18744&db=GeoDb_blob106
GPL19886,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL19886,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL19886&id=22464&db=GeoDb_blob124
GPL23159,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL23159,NA
GPL19109,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL19109,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL19109&id=69686&db=GeoDb_blob117
GPL17692,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi,NA
GPL13667,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi,NA
GPL10335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?view=data&acc=GPL10335&id=11206&db=GeoDb_blob92
