Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR5925073,RNA-Seq,302,6649317314,PRJNA397857,SAMN07490129,3041579753,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",branch retinal vein occlusion,SRX3085646,GSM2739339,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-10T00:00:00Z,2017-08-10T10:38:00Z,1,GSM2739339,Retinal neovascular proliferative membrane,SRP115195,branch retinal vein occlusion
SRR5925074,RNA-Seq,302,6719832502,PRJNA397857,SAMN07490158,3051887527,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",branch retinal vein occlusion,SRX3085647,GSM2739340,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-10T00:00:00Z,2017-08-10T10:36:00Z,1,GSM2739340,Retinal neovascular proliferative membrane,SRP115195,branch retinal vein occlusion
SRR5925075,RNA-Seq,302,7571059366,PRJNA397857,SAMN07490157,3452148511,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",branch retinal vein occlusion,SRX3085648,GSM2739341,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-10T00:00:00Z,2017-08-10T10:40:00Z,1,GSM2739341,Retinal neovascular proliferative membrane,SRP115195,branch retinal vein occlusion
SRR5925076,RNA-Seq,302,7373180812,PRJNA397857,SAMN07490156,3408417709,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",abbreviations of type II diabetes,SRX3085649,GSM2739342,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-10T00:00:00Z,2017-08-10T11:26:00Z,1,GSM2739342,Retinal neovascular proliferative membrane,SRP115195,hemal arch
SRR5925077,RNA-Seq,302,9030842504,PRJNA397857,SAMN07490155,4169460495,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",abbreviations of type II diabetes,SRX3085650,GSM2739343,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-10T00:00:00Z,2017-08-10T10:44:00Z,1,GSM2739343,Retinal neovascular proliferative membrane,SRP115195,hemal arch
SRR5925078,RNA-Seq,302,8091842662,PRJNA397857,SAMN07490154,3752577459,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",abbreviations of type II diabetes,SRX3085651,GSM2739344,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-10T00:00:00Z,2017-08-10T10:47:00Z,1,GSM2739344,Retinal neovascular proliferative membrane,SRP115195,hemal arch
SRR5925079,RNA-Seq,302,5002241326,PRJNA397857,SAMN07490153,2308950807,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",abbreviations of type II diabetes,SRX3085652,GSM2739345,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-10T00:00:00Z,2017-08-10T10:31:00Z,1,GSM2739345,Retinal neovascular proliferative membrane,SRP115195,hemal arch
SRR5925080,RNA-Seq,302,7834005330,PRJNA397857,SAMN07490152,3649285623,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",abbreviations of type II diabetes,SRX3085653,GSM2739346,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-10T00:00:00Z,2017-08-10T10:42:00Z,1,GSM2739346,Retinal neovascular proliferative membrane,SRP115195,nasal side
SRR5925081,RNA-Seq,302,6022551346,PRJNA397857,SAMN07490151,2774100318,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",abbreviations of type II diabetes,SRX3085654,GSM2739347,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-10T00:00:00Z,2017-08-10T10:34:00Z,1,GSM2739347,Retinal neovascular proliferative membrane,SRP115195,nasal side
SRR5925082,RNA-Seq,302,7450338792,PRJNA397857,SAMN07490150,3455488285,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",abbreviations of type II diabetes,SRX3085655,GSM2739348,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-10T00:00:00Z,2017-08-10T10:36:00Z,1,GSM2739348,Retinal neovascular proliferative membrane,SRP115195,nasal side
