Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),hepatic_zone,Instrument,isolation,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR6188608,Bisulfite-Seq,101,4673732176,PRJNA414905,SAMN07810306,2060253317,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3298622,GSM2819620,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:10:00Z,1,GSM2819620,hepatocytes,SRP120376,liver
SRR6188609,Bisulfite-Seq,101,6664030702,PRJNA414905,SAMN07810305,3074001883,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3298623,GSM2819621,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:30:00Z,1,GSM2819621,hepatocytes,SRP120376,liver
SRR6188610,Bisulfite-Seq,101,5520019761,PRJNA414905,SAMN07810303,2512726346,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3298624,GSM2819622,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:12:00Z,1,GSM2819622,hepatocytes,SRP120376,liver
SRR6188611,Bisulfite-Seq,101,6261951924,PRJNA414905,SAMN07810302,2859132836,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3298625,GSM2819623,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:21:00Z,1,GSM2819623,hepatocytes,SRP120376,liver
SRR6188612,Bisulfite-Seq,101,4442652559,PRJNA414905,SAMN07810301,2023111746,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3298626,GSM2819624,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:09:00Z,1,GSM2819624,hepatocytes,SRP120376,liver
SRR6188613,Bisulfite-Seq,101,5155203014,PRJNA414905,SAMN07810304,2403584739,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX3298627,GSM2819625,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:13:00Z,1,GSM2819625,hepatocytes,SRP120376,liver
SRR6188614,Bisulfite-Seq,101,5680668442,PRJNA414905,SAMN07810300,2647230264,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3298628,GSM2819626,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:26:00Z,1,GSM2819626,hepatocytes,SRP120376,liver
SRR6188615,Bisulfite-Seq,101,5635841814,PRJNA414905,SAMN07810299,2615798975,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX3298629,GSM2819627,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:19:00Z,1,GSM2819627,hepatocytes,SRP120376,liver
SRR6188616,Bisulfite-Seq,100,5518744625,PRJNA414905,SAMN07810298,2550821948,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3298630,GSM2819628,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:25:00Z,1,GSM2819628,hepatocytes,SRP120376,liver
SRR6188617,Bisulfite-Seq,101,4391822794,PRJNA414905,SAMN07810297,2033092431,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX3298631,GSM2819629,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:10:00Z,1,GSM2819629,hepatocytes,SRP120376,liver
