Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR10853157,RNA-Seq,75,378831375,PRJNA600013,SAMN13765661,150287316,GEO,MHO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7523613,GSM4257063,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T17:58:00Z,1,GSM4257063,Subcutaneous adipose tissue,SRP240641
SRR10853158,RNA-Seq,75,384847500,PRJNA600013,SAMN13765661,152038743,GEO,MHO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7523613,GSM4257063,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T17:58:00Z,1,GSM4257063,Subcutaneous adipose tissue,SRP240641
SRR10853159,RNA-Seq,75,383172150,PRJNA600013,SAMN13765655,142925557,GEO,MHO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7523614,GSM4257064,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T17:58:00Z,1,GSM4257064,Subcutaneous adipose tissue,SRP240641
SRR10853160,RNA-Seq,75,390650475,PRJNA600013,SAMN13765655,145892112,GEO,MHO,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7523614,GSM4257064,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T17:58:00Z,1,GSM4257064,Subcutaneous adipose tissue,SRP240641
SRR10853161,RNA-Seq,75,396971325,PRJNA600013,SAMN13765655,147234987,GEO,MHO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7523614,GSM4257064,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T17:59:00Z,1,GSM4257064,Subcutaneous adipose tissue,SRP240641
SRR10853162,RNA-Seq,75,1322514450,PRJNA600013,SAMN13765648,533542514,GEO,MHO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7523615,GSM4257065,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257065,Subcutaneous adipose tissue,SRP240641
SRR10853163,RNA-Seq,75,1350482700,PRJNA600013,SAMN13765648,542830475,GEO,MHO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7523615,GSM4257065,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257065,Subcutaneous adipose tissue,SRP240641
SRR10853164,RNA-Seq,75,591232950,PRJNA600013,SAMN13765610,233968034,GEO,MHO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7523616,GSM4257066,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:00:00Z,1,GSM4257066,Subcutaneous adipose tissue,SRP240641
SRR10853165,RNA-Seq,75,601781325,PRJNA600013,SAMN13765610,237155058,GEO,MHO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7523616,GSM4257066,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:00:00Z,1,GSM4257066,Subcutaneous adipose tissue,SRP240641
SRR10853166,RNA-Seq,75,335833275,PRJNA600013,SAMN13765597,132876763,GEO,MHO,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7523617,GSM4257067,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T17:59:00Z,1,GSM4257067,Subcutaneous adipose tissue,SRP240641
SRR10853167,RNA-Seq,75,341021100,PRJNA600013,SAMN13765597,134385583,GEO,MHO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7523617,GSM4257067,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T17:59:00Z,1,GSM4257067,Subcutaneous adipose tissue,SRP240641
SRR10853168,RNA-Seq,75,331483350,PRJNA600013,SAMN13765587,132088658,GEO,MHO,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7523618,GSM4257068,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T17:59:00Z,1,GSM4257068,Subcutaneous adipose tissue,SRP240641
SRR10853169,RNA-Seq,75,337616025,PRJNA600013,SAMN13765587,133969572,GEO,MHO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7523618,GSM4257068,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:00:00Z,1,GSM4257068,Subcutaneous adipose tissue,SRP240641
SRR10853170,RNA-Seq,75,803407350,PRJNA600013,SAMN13765566,317999344,GEO,MHO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7523619,GSM4257069,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:02:00Z,1,GSM4257069,Subcutaneous adipose tissue,SRP240641
SRR10853171,RNA-Seq,75,818384025,PRJNA600013,SAMN13765566,322485964,GEO,MHO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7523619,GSM4257069,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257069,Subcutaneous adipose tissue,SRP240641
SRR10853172,RNA-Seq,75,300753825,PRJNA600013,SAMN13765559,119086552,GEO,MHO,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7523620,GSM4257070,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:00:00Z,1,GSM4257070,Subcutaneous adipose tissue,SRP240641
SRR10853173,RNA-Seq,75,306410325,PRJNA600013,SAMN13765559,120812665,GEO,MHO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7523620,GSM4257070,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:00:00Z,1,GSM4257070,Subcutaneous adipose tissue,SRP240641
SRR10853174,RNA-Seq,75,384485475,PRJNA600013,SAMN13765553,152878847,GEO,MHO,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7523621,GSM4257071,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257071,Subcutaneous adipose tissue,SRP240641
